date,mxn_close,score,wsum,band,s_vix,s_mxn,s_spx,s_carry,s_mxnvol,s_move,s_btc,s_curve,s_gold,r_vix,r_mxn,r_spx,r_carry,r_mxnvol,r_move,r_btc,r_curve,r_gold
2005-03-21,11.221,55,83,CONSTRUCTIVE,72.562,21.833,33.115,,68.092,58.462,,87.333,96.936,13.61000,0.44309,-0.49342,,6.17479,91.30000,,0.81000,-1.86660
2005-03-22,11.1895,59,83,CONSTRUCTIVE,69.158,69.421,19.141,,69.850,59.034,,84.667,47.807,14.27000,-0.28072,-1.01962,,5.86855,90.70000,,0.77000,0.04639
2005-03-23,11.245,58,83,CONSTRUCTIVE,70.266,19.345,52.491,,69.534,60.639,,84.667,93.197,14.06000,0.49600,0.06999,,5.92432,89.00000,,0.77000,-1.41432
2005-03-24,11.2725,58,83,CONSTRUCTIVE,73.497,33.540,46.630,,69.978,61.228,,81.333,55.486,13.42000,0.24455,-0.09467,,5.84586,88.37000,,0.72000,-0.11759
2005-03-25,11.272,62,83,CONSTRUCTIVE,73.497,50.314,50.000,,69.956,61.228,,81.333,50.000,13.42000,-0.00444,0.00000,,5.84973,88.37000,,0.72000,0.00000
2005-03-28,11.3295,56,83,CONSTRUCTIVE,71.859,19.365,59.284,,69.078,60.723,,82.667,36.263,13.75000,0.51011,0.24415,,6.00414,88.91000,,0.74000,0.28255
2005-03-29,11.2938,60,83,CONSTRUCTIVE,67.972,70.487,24.964,,68.154,60.084,,82.000,48.816,14.49000,-0.31511,-0.75962,,6.16404,89.59000,,0.73000,0.02348
2005-03-30,11.2265,75,83,RISK-ON,72.412,83.612,87.696,,65.551,58.748,,80.000,50.000,13.64000,-0.59590,1.37726,,6.60213,91.00000,,0.70000,0.00000
2005-03-31,11.177,64,83,CONSTRUCTIVE,70.475,76.956,47.332,,64.210,61.851,,80.000,22.009,14.02000,-0.44092,-0.06941,,6.82142,87.70000,,0.70000,0.63381
2005-04-01,11.185,58,83,CONSTRUCTIVE,70.109,45.122,28.365,,64.397,72.629,,80.667,78.646,14.09000,0.07158,-0.64967,,6.79105,75.16000,,0.71000,-0.65314
2005-04-04,11.207,62,83,CONSTRUCTIVE,70.004,36.504,59.605,,65.315,72.668,,82.000,71.856,14.11000,0.19669,0.27282,,6.64095,75.11000,,0.73000,-0.46959
2005-04-05,11.2145,63,83,CONSTRUCTIVE,72.212,45.133,65.544,,65.664,73.799,,82.000,41.472,13.68000,0.06692,0.44809,,6.58338,73.64000,,0.73000,0.14154
2005-04-06,11.2298,60,83,CONSTRUCTIVE,74.791,40.185,58.067,,67.715,67.711,,82.667,22.349,13.15000,0.13643,0.22685,,6.23912,81.15000,,0.74000,0.61249
2005-04-07,11.181,74,83,RISK-ON,78.457,78.022,70.711,,66.241,69.296,,84.667,58.237,12.33000,-0.43456,0.59710,,6.48763,79.28000,,0.77000,-0.14048
2005-04-08,11.13,64,83,CONSTRUCTIVE,77.206,79.082,23.296,,65.099,67.496,,82.000,43.403,12.62000,-0.45613,-0.83450,,6.67645,81.40000,,0.73000,0.09379
